Scientific,CommonName,meanCount,maxCount
Anas gracilis,Grey Teal,6798.933333333333,33984
Anas superciliosa,Pacific Black Duck,1091.4666666666667,9781
Anhinga novaehollandiae,Australasian Darter,34.5,178
Antigone rubicunda,Brolga,2,2
Ardea alba,Great Egret,163.77777777777777,541
Ardea pacifica,White-necked Heron,269.75,936
Ardea/Egretta sp.,Egrets,437.9166666666667,1976
Aythya australis,Hardhead,290.1818181818182,804
Biziura lobata,Musk Duck,7,9
Chenonetta jubata,Wood (Maned) Duck,570.8666666666667,2454
Chlidonias hybrida,Whiskered Tern,450.5,1545
Chroicocephalus novaehollandiae,Silver Gull,7.25,18
Cladorhynchus leucocephalus,Banded Stilt,1,1
Cygnus atratus,Black Swan,604.5,3535
Dendrocygna eytoni,Plumed Whistling Duck,60,89
Egretta novaehollandiae,White-faced Heron,110.54545454545455,500
Fulica atra,Eurasian Coot,1823.4285714285713,7784
Gallinula tenebrosa,Dusky Moorhen,18,18
Gelochelidon nilotica,Gull-billed Tern,50,84
Haematopus longirostris,Pied Oystercatcher,54,54
Haliaeetus leucogaster,White-bellied Sea Eagle,6,9
Himantopus luecocephalus,Pied Stilt,299.2142857142857,909
Hydroprogne caspia,Caspian Tern,9,15
Malacorhynchus membranaceus,Pink-eared Duck,262.57142857142856,697
Microcarbo melanoleucos,Little Pied Cormorant,16.22222222222222,49
Nycticorax caledonicus,Nankeen Night Heron,44.25,124
Oxyura australis,Blue-billed Duck,27,45
Pelecanus conspicillatus,Australian Pelican,1504.4666666666667,6008
Phalacrocorax carbo,Great Cormorant,392.42857142857144,2909
Phalacrocorax sulcirostris,Little Black Cormorant,485.3076923076923,2740
Phalacrocorax varius,Australian Pied Cormorant,36.5,277
Platalea flavipes,Yellow-billed Spoonbill,328.3,1254
Platalea regia,Royal Spoonbill,65.83333333333333,230
Plegadis falcinellus,Glossy Ibis,675.8888888888889,2650
Podiceps cristatus,Great Crested Grebe,8,13
Porphyrio melanotus melanotus,Australasian Swamphen,276.2,671
Recurvirostra novaehollandiae,Red-necked Avocet,564.8,1683
Spatula rhynchotis,Australasian Shoveler,37.666666666666664,71
Tadorna tadornoides,Australian Shelduck (Mountain Duck),403.54545454545456,1905
Tern sp.,Unidentified Tern,14,18
Threskiornis molucca,Australian White Ibis,926.5833333333334,3340
Threskiornis spinicollis,Straw-necked Ibis,2090,9444
Tribonyx ventralis,Black-tailed Nativehen,933.2,1570
Vanellus miles,Masked Lapwing,36,94
Vanellus tricolor,Banded Lapwing,10,10
small grebe sp.,Small Grebes,36.4,109
small wader sp.,Small Waders,119.2,279
NA,Zero Count,0,0
