Date,Water_area_percent,Water_area_km2
1987,2.14,9.35394
1988,3.05,13.33155
1989,10,43.71
1990,8.6,37.5906
1991,4.09,17.87739
1992,5.69,24.87099
1993,7.38,32.25798
1994,3.16,13.81236
1995,4.56,19.93176
1996,4.13,18.05223
1997,3.46,15.12366
1998,7.66,33.48186
1999,3.21,14.03091
2000,2.73,11.93283
2001,2.53,11.05863
2002,1.83,7.99893
2003,1.2,5.2452
2004,0.61,2.66631
2005,0.65,2.84115
2006,0.92,4.02132
2007,0.18,0.78678
2008,0.46,2.01066
2009,0.11,0.48081
2010,2.99,13.06929
2011,3.71,16.21641
2012,4.76,20.80596
2013,3.8,16.6098
2014,1.37,5.98827
2015,2.34,10.22814
2016,8.17,35.71107
2017,3.27,14.29317
2018,1.28,5.59488
2019,1.08,4.72068
2020,2.64,11.53944
2021,4.6,20.1066
2022,26.5,115.8315
2023,15.17,66.30807
2024,6.02,26.31342
